Tree ID,Name,Oxygen_Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2)
1,Acer pseudoplatanus,2.8,3.5,1,1.5,1.8
2,Acer pseudoplatanus,3,5,1.5,1.5,1.8
3,Acer pseudoplatanus,3.4,4.5,1.3,1.5,1.8
4,Acer pseudoplatanus,4.3,5,1.5,2.5,4.9
7,Cupressus,29.5,8,2.4,1.5,1.8
8,Acer pseudoplatanus,3.4,4.5,1.3,1.5,1.8
9,Acer pseudoplatanus,3.8,4,1.2,2,3.1
10,Acer pseudoplatanus,3.8,4,1.2,2,3.1
11,Acer pseudoplatanus,3.3,3.5,1,1.5,1.8
12,Acer pseudoplatanus,3.9,5,1.5,2,3.1
13,Acer platanoides,5.2,5,1.5,2.5,4.9
14,Acer pseudoplatanus,2.9,4,1.2,2,3.1
15,Acer platanoides,4.6,5,1.5,2,3.1
16,Acer pseudoplatanus,3.2,3,0.9,1.5,1.8
17,Acer pseudoplatanus,3.8,4,1.2,2,3.1
18,Acer pseudoplatanus,3.4,4.5,1.3,1.5,1.8
36,Sophora japonica,4.3,5,1.5,2,3.1
37,Tilia cordata,2.2,4.5,1.3,3,7.1
38,Tilia cordata,3.4,5,1.5,3,7.1
39,Tilia cordata,3.4,5,1.5,3,7.1
40,Tilia cordata,1.8,4,1.2,2,3.1
70,Tilia cordata,6.5,6,1.8,6,28.3
71,Tilia cordata,6,7,2.1,6,28.3
72,Tilia cordata,6,7,2.1,6,28.3
73,Tilia cordata,4.7,7,2.1,5,19.6
80,Acer pseudoplatanus,1.7,4,1.2,3,7.1
81,Acer pseudoplatanus,5,6,1.8,3,7.1
82,Acer pseudoplatanus,5,6,1.8,3.5,9.6
83,Acer pseudoplatanus,3.4,5,1.5,2.5,4.9
84,Acer pseudoplatanus,3.9,5,1.5,2.5,4.9
85,Acer pseudoplatanus,3.9,5,1.5,2.5,4.9
86,Acer pseudoplatanus,1.3,5,1.5,2,3.1
87,Acer pseudoplatanus,3.9,5,1.5,3,7.1
88,Acer pseudoplatanus,4.8,5,1.5,3,7.1
89,Acer pseudoplatanus,0.6,5,1.5,1,0.8
90,Acer pseudoplatanus,1.3,5,1.5,2,3.1
91,Acer campestre,1.3,6,1.8,2,3.1
92,Acer campestre,2.3,8,2.4,2,3.1
93,Acer campestre,2.7,4,1.2,3,7.1
94,Acer tataricum ssp. ginnala,2.5,4,1.2,2,3.1
95,Acer tataricum ssp. ginnala,2.5,4,1.2,2,3.1
96,Fagus,5.3,4.5,1.3,1.5,1.8
97,Fagus,5.3,4.5,1.3,1.5,1.8
99,Fagus,6.3,4.5,1.3,1.5,1.8
100,Fagus,6.3,4.5,1.3,1.5,1.8
101,Fagus,6.3,4.5,1.3,1.5,1.8
102,Fagus,6.3,4.5,1.3,1.5,1.8
103,Fagus,6.3,3.5,1,2,3.1
104,Fagus,5.3,4.5,1.3,1.5,1.8
107,Acer campestre,1.5,5,1.5,2,3.1
108,Acer opalus,4.2,5,1.5,2,3.1
114,Tilia cordata,2.2,4.5,1.3,3,7.1
115,Tilia cordata,3,4.5,1.3,2.5,4.9
116,Tilia cordata,2.2,4.5,1.3,1,0.8
117,Tilia cordata,2.2,4.5,1.3,2,3.1
118,Tilia cordata,3.4,5,1.5,3,7.1
119,Tilia cordata,3.4,5,1.5,3,7.1
120,Tilia cordata,3.4,5,1.5,3,7.1
121,Tilia cordata,2.2,4.5,1.3,3,7.1
122,Tilia cordata,2.2,2,0.6,1,0.8
123,Sophora japonica,2.5,5,1.5,2,3.1
124,Sophora japonica,2.5,5,1.5,2,3.1
135,Tilia cordata,1.8,4.5,1.3,2,3.1
137,Tilia cordata,1.8,4.5,1.3,2,3.1
138,Tilia cordata,3.4,5,1.5,3,7.1
139,Tilia cordata,3.4,5,1.5,3,7.1
